name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver,DDR4,2,4
ASRock B760 Pro RS/D4,154.05,LGA1700,ATX,128,4,Silver / Black,DDR4,2,4
ASRock B850M Steel Legend WiFi,179.99,AM5,Micro ATX,256,4,Silver / Black,DDR5,2,4
Asus TUF GAMING B650M-PLUS WIFI,259.0,AM5,Micro ATX,192,4,Black,DDR5,2,4
MSI B760M GAMING PLUS WIFI,252.19,LGA1700,Micro ATX,192,4,Black / Silver,DDR4,2,4
Gigabyte B550M DS3H AC,99.99,AM4,Micro ATX,128,4,Black,DDR4,2,4
Gigabyte B650M GAMING WIFI6E,177.17,AM5,Micro ATX,128,2,Silver / Black,DDR5,2,4
MSI PRO B760-P WIFI DDR4,159.95,LGA1700,ATX,128,4,Black,DDR4,2,4
Gigabyte B650 EAGLE,212.19,AM5,ATX,192,4,Black / Gray,DDR5,2,4
MSI X870 GAMING PLUS WIFI,249.99,AM5,ATX,256,4,Black / White,DDR5,2,4
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black,DDR4,2,4
ASRock Z790 PRO RS WIFI,229.68,LGA1700,ATX,192,4,Silver / Black,DDR4,2,4
Gigabyte A520M S2H,72.98,AM4,Micro ATX,64,2,Black,DDR4,2,4
Asus TUF GAMING X570-PLUS (WI-FI),229.99,AM4,ATX,128,4,Black / Gold,DDR4,2,4
Asus Prime B450M-A II,140.0,AM4,Micro ATX,128,4,Black,DDR4,2,4
Gigabyte B850I AORUS PRO,259.99,AM5,Mini ITX,128,2,Black,DDR5,2,4
Gigabyte A520M DS3H V2,101.9,AM4,Micro ATX,128,4,Gray / Brown,DDR4,2,4
MSI B550 GAMING GEN3,124.58,AM4,ATX,128,4,Black,DDR4,2,4
MSI MAG B850M MORTAR WIFI,239.99,AM5,Micro ATX,256,4,Black / Green,DDR5,2,4
Gigabyte B550 AORUS ELITE AX V2,149.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
ASRock B850 Steel Legend WiFi,209.99,AM5,ATX,256,4,White / Black,DDR5,2,4
MSI MPG B650I EDGE WIFI,289.99,AM5,Mini ITX,128,2,Black / Silver,DDR5,2,4
MSI MAG Z790 TOMAHAWK WIFI,189.99,LGA1700,ATX,192,4,Black,DDR4,2,4
MSI B450 TOMAHAWK MAX,229.99,AM4,ATX,128,4,Black,DDR4,2,4
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver,DDR4,2,4
Asus ROG STRIX B860-I GAMING WIFI,219.99,LGA1851,Mini ITX,128,2,Black / Silver,DDR5,2,4
ASRock H370M-HDV,74.98,LGA1151,Micro ATX,64,2,Black / Silver,DDR4,2,4
Asus ROG STRIX B550-A GAMING,241.13,AM4,ATX,128,4,Black / White,DDR4,2,4
NZXT N7 B650E,260.88,AM5,ATX,128,4,White,DDR5,2,4
Gigabyte X870E AORUS PRO,349.99,AM5,ATX,256,4,Black,DDR5,2,4
MSI Z790 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black,DDR4,2,4
MSI MPG B850I EDGE TI WIFI,249.99,AM5,Mini ITX,128,2,Silver,DDR5,2,4
ASRock B650 PRO RS,147.02,AM5,ATX,256,4,Black / Silver,DDR5,2,4
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),229.99,LGA1700,ATX,128,4,Black,DDR4,2,4
Gigabyte B650E AORUS ELITE X AX ICE,209.0,AM5,ATX,192,4,Silver / White,DDR5,2,4
MSI PRO B840-P WIFI,159.99,AM5,ATX,256,4,Silver,DDR5,2,4
ASRock B550M-ITX/ac,99.99,AM4,Mini ITX,64,2,Silver / Black,DDR4,2,4
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black,DDR5,2,4
ASRock B850 Pro-A,139.99,AM5,ATX,256,4,Black / Silver,DDR5,2,4
ASRock B760M-H2/M.2,153.88,LGA1700,Micro ATX,96,2,Black / Silver,DDR4,2,4
Asus ROG STRIX B850-E GAMING WIFI,339.0,AM5,ATX,256,4,Black,DDR5,2,4
MSI MAG B650M MORTAR WIFI,198.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
ASRock B650M Pro X3D WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,DDR5,2,4
MSI PRO X870-P WIFI,273.0,AM5,ATX,256,4,Black / Silver,DDR5,2,4
Asus PRIME B550-PLUS AC-HES,129.99,AM4,ATX,128,4,Silver / Black,DDR4,2,4
Asus PRIME X870-P WIFI,219.99,AM5,ATX,192,4,Black / Silver,DDR5,2,4
Gigabyte B650M AORUS ELITE AX,199.99,AM5,Micro ATX,192,4,Black,DDR5,2,4
ASRock B550 Phantom Gaming-ITX/ax,149.99,AM4,Mini ITX,64,2,Silver / Black,DDR4,2,4
Asus Z790-AYW WIFI W II,189.99,LGA1700,ATX,192,4,White,DDR4,2,4
ASRock B850M Riptide WiFi,169.99,AM5,Micro ATX,256,4,Black,DDR5,2,4
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black,DDR4,2,4
Asus TUF GAMING B760M-PLUS WIFI II,263.77,LGA1700,Micro ATX,192,4,Black / Orange,DDR4,2,4
Gigabyte B650M AORUS ELITE AX ICE,199.99,AM5,Micro ATX,192,4,Silver,DDR5,2,4
Asus ROG CROSSHAIR X670E HERO,229.99,AM5,ATX,192,4,Black / Silver,DDR5,2,4
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black,DDR4,2,4
Asus PRIME B760M-A AX,131.74,LGA1700,Micro ATX,128,4,Silver / Black,DDR4,2,4
Gigabyte B550M DS3H,137.64,AM4,Micro ATX,128,4,Black / Gold,DDR4,2,4
MSI PRO B650-P WIFI,169.99,AM5,ATX,192,4,Black,DDR5,2,4
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black,DDR5,2,4
ASRock X870 Steel Legend WiFi,259.99,AM5,ATX,256,4,White,DDR5,2,4
Asus ROG MAXIMUS Z790 DARK HERO,999.99,LGA1700,ATX,192,4,Black,DDR4,2,4
Gigabyte Z790 AORUS ELITE X WIFI7,239.99,LGA1700,ATX,192,4,Black,DDR4,2,4
ASRock H610M/ac,89.99,LGA1700,Micro ATX,64,2,Silver / Black,DDR4,2,4
Gigabyte B650I AORUS ULTRA,237.0,AM5,Mini ITX,96,2,Black / Silver,DDR5,2,4
Gigabyte A620M S2H,110.82,AM5,Micro ATX,96,2,Gray / Black,DDR5,2,4
Gigabyte Z890 EAGLE WIFI7,224.27,LGA1851,ATX,256,4,Silver / Black,DDR5,2,4
Asus ROG STRIX B450-F GAMING II,269.27,AM4,ATX,128,4,Black,DDR4,2,4
Asus ROG STRIX X870-F GAMING WIFI,419.99,AM5,ATX,192,4,Black,DDR5,2,4
Gigabyte B450M DS3H,153.26,AM4,Micro ATX,128,4,Black / Silver,DDR4,2,4
Asus PRIME B840-PLUS WIFI,149.99,AM5,ATX,192,4,Silver / Black,DDR5,2,4
