name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Silverstone RM52,533.01,ATX Full Tower,Black,Tempered Glass,58.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Pure Base 500,92.9,ATX Mid Tower,White,Tempered Glass,46.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH360,124.99,MicroATX Mid Tower,Black,Tempered Glass,39.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
GAMDIAS ATHENA M3,82.43,ATX Mid Tower,White,Tempered Glass,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Aerocool CS-1102,124.99,ATX Mid Tower,Black,Tempered Glass,33.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks Eclipse G400A,124.99,ATX Mid Tower,White,Tempered Glass,59.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH510,124.99,ATX Mid Tower,Black,Tempered Glass,47.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CC560,124.99,ATX Mid Tower,Black,Tempered Glass,41.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H210i,124.99,Mini ITX Tower,White,Tempered Glass,27.3,Mini ITX,300,140,SFX
NCASE M1,124.99,Mini ITX Tower,Silver / Black,Tempered Glass,13.9,Mini ITX,300,140,SFX
Cooler Master MasterBox Lite 5,124.99,ATX Mid Tower,Black,Acrylic,42.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Torrent RGB,229.99,ATX Mid Tower,White,Tempered Glass,69.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo D41 Mesh,124.99,ATX Mid Tower,White,Tempered Glass,35.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake View 170 ARGB,84.98,MicroATX Mini Tower,Pink / Blue,Tempered Glass,35.0,"Micro ATX, Mini ITX",330,155,ATX
